date,max_temperature,min_temperature,,,,,,,,max,min
1/1/97,25,16,,,,,,1997,1,26,10
1/2/97,22,18,,,,,,1997,2,26,11
1/3/97,18,17,,,,,,1997,3,28,14
1/4/97,20,17,,,,,,1997,4,29,19
1/5/97,19,15,,,,,,1997,5,32,21
1/6/97,18,14,,,,,,1997,6,32,23
1/7/97,19,14,,,,,,1997,7,35,23
1/8/97,18,11,,,,,,1997,8,37,25
1/9/97,16,11,,,,,,1997,9,33,20
1/10/97,19,11,,,,,,1997,10,32,19
1/11/97,20,12,,,,,,1997,11,31,16
1/12/97,19,12,,,,,,1997,12,27,12
1/13/97,19,15,,,,,,1998,1,27,9
1/14/97,23,17,,,,,,1998,2,27,9
1/15/97,21,17,,,,,,1998,3,29,12
1/16/97,22,17,,,,,,1998,4,33,19
1/17/97,21,18,,,,,,1998,5,33,21
1/18/97,22,17,,,,,,1998,6,33,22
1/19/97,21,17,,,,,,1998,7,34,24
1/20/97,22,16,,,,,,1998,8,35,25
1/21/97,23,18,,,,,,1998,9,34,24
1/22/97,19,16,,,,,,1998,10,33,21
1/23/97,19,13,,,,,,1998,11,30,18
1/24/97,14,10,,,,,,1998,12,28,14
1/25/97,13,10,,,,,,1999,1,26,9
1/26/97,19,12,,,,,,1999,2,28,12
1/27/97,20,13,,,,,,1999,3,31,12
1/28/97,21,14,,,,,,1999,4,32,18
1/29/97,22,14,,,,,,1999,5,32,18
1/30/97,24,18,,,,,,1999,6,35,25
1/31/97,26,17,,,,,,1999,7,35,26
2/1/97,20,17,,,,,,1999,8,36,24
2/2/97,20,17,,,,,,1999,9,34,23
2/3/97,18,14,,,,,,1999,10,33,20
2/4/97,19,14,,,,,,1999,11,29,12
2/5/97,18,15,,,,,,1999,12,24,5
2/6/97,17,14,,,,,,2000,1,25,7
2/7/97,19,13,,,,,,2000,2,25,8
2/8/97,18,13,,,,,,2000,3,28,19
2/9/97,18,14,,,,,,2000,4,29,19
2/10/97,17,16,,,,,,2000,5,33,22
2/11/97,18,14,,,,,,2000,6,34,22
2/12/97,15,13,,,,,,2000,7,35,25
2/13/97,16,13,,,,,,2000,8,35,25
2/14/97,16,14,,,,,,2000,9,33,24
2/15/97,16,14,,,,,,2000,10,33,19
2/16/97,15,13,,,,,,2000,11,28,13
2/17/97,15,13,,,,,,2000,12,26,11
2/18/97,18,11,,,,,,2001,1,25,10
2/19/97,19,13,,,,,,2001,2,27,10
2/20/97,21,14,,,,,,2001,3,29,14
2/21/97,23,13,,,,,,2001,4,33,15
2/22/97,21,16,,,,,,2001,5,33,23
2/23/97,21,15,,,,,,2001,6,35,24
2/24/97,24,16,,,,,,2001,7,34,24
2/25/97,24,19,,,,,,2001,8,35,25
2/26/97,26,21,,,,,,2001,9,34,25
2/27/97,23,18,,,,,,2001,10,33,21
2/28/97,24,17,,,,,,2001,11,30,13
3/1/97,26,17,,,,,,2001,12,29,8
3/2/97,22,16,,,,,,2002,1,26,8
3/3/97,19,14,,,,,,2002,2,26,9
3/4/97,21,14,,,,,,2002,3,28,14
3/5/97,22,17,,,,,,2002,4,33,17
3/6/97,26,17,,,,,,2002,5,34,23
3/7/97,26,18,,,,,,2002,6,35,24
3/8/97,26,19,,,,,,2002,7,35,24
3/9/97,23,19,,,,,,2002,8,35,24
3/10/97,26,20,,,,,,2002,9,34,23
3/11/97,26,21,,,,,,2002,10,31,18
3/12/97,25,20,,,,,,2002,11,29,15
3/13/97,27,21,,,,,,2002,12,29,6
3/14/97,26,21,,,,,,2003,1,25,7
3/15/97,28,20,,,,,,2003,2,27,12
3/16/97,23,21,,,,,,2003,3,28,10
3/17/97,20,18,,,,,,2003,4,32,19
3/18/97,20,18,,,,,,2003,5,33,22
3/19/97,26,19,,,,,,2003,6,34,24
3/20/97,21,17,,,,,,2003,7,35,27
3/21/97,21,18,,,,,,2003,8,35,25
3/22/97,23,18,,,,,,2003,9,34,23
3/23/97,19,17,,,,,,2003,10,32,20
3/24/97,19,16,,,,,,2003,11,33,13
3/25/97,21,16,,,,,,2003,12,27,10
3/26/97,26,19,,,,,,2004,1,24,7
3/27/97,22,19,,,,,,2004,2,26,7
3/28/97,21,19,,,,,,2004,3,27,13
3/29/97,24,19,,,,,,2004,4,32,18
3/30/97,26,18,,,,,,2004,5,33,19
3/31/97,24,19,,,,,,2004,6,36,25
4/1/97,22,19,,,,,,2004,7,37,24
4/2/97,26,21,,,,,,2004,8,36,25
4/3/97,27,21,,,,,,2004,9,34,24
4/4/97,23,21,,,,,,2004,10,32,20
4/5/97,26,20,,,,,,2004,11,29,16
4/6/97,23,21,,,,,,2004,12,27,7
4/7/97,22,20,,,,,,2005,1,24,5
4/8/97,26,21,,,,,,2005,2,26,8
4/9/97,25,22,,,,,,2005,3,28,9
4/10/97,22,20,,,,,,2005,4,30,14
4/11/97,28,20,,,,,,2005,5,32,14
4/12/97,26,21,,,,,,2005,6,34,19
4/13/97,25,22,,,,,,2005,7,37,25
4/14/97,26,22,,,,,,2005,8,34,24
4/15/97,29,24,,,,,,2005,9,35,24
4/16/97,26,22,,,,,,2005,10,34,20
4/17/97,24,21,,,,,,2005,11,31,15
4/18/97,27,22,,,,,,2005,12,26,10
4/19/97,26,22,,,,,,2006,1,26,8
4/20/97,24,21,,,,,,2006,2,26,10
4/21/97,28,22,,,,,,2006,3,28,9
4/22/97,29,23,,,,,,2006,4,33,15
4/23/97,25,22,,,,,,2006,5,33,20
4/24/97,23,21,,,,,,2006,6,35,23
4/25/97,23,19,,,,,,2006,7,37,25
4/26/97,26,20,,,,,,2006,8,34,25
4/27/97,27,22,,,,,,2006,9,34,20
4/28/97,29,21,,,,,,2006,10,32,23
4/29/97,28,24,,,,,,2006,11,31,18
